acc                                                         
time,z_velocity @ 15934119,z_velocity @ 15935261,z_velocity @ 15937105,z_velocity @ 15939050,
    5.2200001478e-01,   -3.2590919495e+01,   -3.3123382568e+01,   -3.7917728424e+01,   -3.8086334229e+01,
    5.2399998903e-01,   -3.7143699646e+01,   -3.7683238983e+01,   -4.0990234375e+01,   -4.1272480011e+01,
    5.2700001001e-01,   -4.1660156250e+01,   -4.2272853851e+01,   -4.0191307068e+01,   -4.0836551666e+01,
    5.2899998426e-01,   -4.2292301178e+01,   -4.2966899872e+01,   -3.6309474945e+01,   -3.7249393463e+01,
    5.3200000525e-01,   -3.8912006378e+01,   -3.9642047882e+01,   -2.7415376663e+01,   -2.8703310013e+01,
    5.3399997950e-01,   -3.3975761414e+01,   -3.4713214874e+01,   -2.0495105743e+01,   -2.1907848358e+01,
    5.3700000048e-01,   -2.4109420776e+01,   -2.4847623825e+01,   -9.9371347427e+00,   -1.1409091949e+01,
    5.3899997473e-01,   -1.7435359955e+01,   -1.8175603867e+01,   -4.1040759087e+00,   -5.5411334038e+00,
    5.4199999571e-01,   -9.4778022766e+00,   -1.0238460541e+01,    1.0741060972e+00,   -2.3063157499e-01,
    5.4400002956e-01,   -5.8641562462e+00,   -6.6886739731e+00,    2.7374694347e+00,    1.4908261299e+00,
    5.4699999094e-01,   -1.9825931787e+00,   -3.0591640472e+00,    5.6181597710e+00,    4.2262582779e+00,
    5.4900002480e-01,    4.6032345295e-01,   -8.9645743370e-01,    9.3139591217e+00,    7.6240434647e+00,
    5.5199998617e-01,    4.5481176376e+00,    2.6965110302e+00,    1.7510524750e+01,    1.5183382988e+01,
    5.5400002003e-01,    7.2840895653e+00,    5.1443271637e+00,    2.3521459579e+01,    2.0775941849e+01,
    5.5699998140e-01,    1.0344380379e+01,    7.9729561806e+00,    3.0824357986e+01,    2.7672597885e+01,
    5.5900001526e-01,    1.1051171303e+01,    8.7059879303e+00,    3.3238986969e+01,    3.0046607971e+01,
    5.6199997663e-01,    9.7943296432e+00,    7.7656650543e+00,    3.2069801331e+01,    2.9205635071e+01,
    5.6400001049e-01,    7.7521433830e+00,    6.0797624588e+00,    2.8301368713e+01,    2.5878559113e+01,
    5.6699997187e-01,    4.0372066498e+00,    2.9806864262e+00,    2.0209068298e+01,    1.8598815918e+01,
    5.6900000572e-01,    1.8705807924e+00,    1.1877456903e+00,    1.4818828583e+01,    1.3717176437e+01,
    5.7200002670e-01,   -1.5854230523e-01,   -4.4053244591e-01,    8.6814594269e+00,    8.1363649368e+00,
    5.7400000095e-01,   -6.6686111689e-01,   -7.9371315241e-01,    6.0723276138e+00,    5.7511649132e+00,
    5.7700002193e-01,   -6.4841383696e-01,   -6.4262241125e-01,    3.4677302837e+00,    3.3573360443e+00,
    5.7899999619e-01,   -4.3508598208e-01,   -3.5055750608e-01,    1.9584932327e+00,    1.9816671610e+00,
    5.8200001717e-01,   -5.5412571877e-02,    2.0539468527e-01,   -4.0479615331e-01,   -1.0477633029e-01,
    5.8399999142e-01,    2.3304145038e-01,    6.6083437204e-01,   -1.9510211945e+00,   -1.4085777998e+00,
